id_siniestro,id_poliza,id_asegurado,id_proveedor,id_vehiculo,placa,ramo,cobertura,fecha_ocurrencia,fecha_reporte,dias_entre_ocurrencia_reporte,dias_desde_inicio_poliza,dias_desde_fin_poliza,monto_reclamado,monto_estimado,monto_pagado,suma_asegurada_poliza,estado,sucursal,descripcion,documentos_completos,documentos_inconsistentes,historial_siniestros_asegurado,siniestros_vehiculo_18m,proveedor_lista_restrictiva,score_riesgo,semaforo,señales_activadas,num_señales,etiqueta_fraude_simulada
SIN-0011,POL-0071,ASE-0016,PRV-0033,,,Vehículos,Robo,2020-06-04,2020-06-11,7,5,-659,23122.64,19056.66,19056.66,24135.74,Pago Total,Quito,El vehículo fue robado en horas de la madrugada mientras se encontraba estacionado frente al domicilio del asegurado en Av. República. Se realizó la denuncia en la UPC del sector.,No,No,4,0,Sí,99,Rojo,Reclamo primeros 10 días de póliza | Demora denuncia robo >48h | Alta frecuencia reclamos asegurado (4 siniestros) | ⚠️ Proveedor en Lista Restrictiva | Documentos incompletos | Reporte con demora moderada (7 días) | Monto cercano a suma asegurada (>93%),7,1
SIN-0012,POL-0295,ASE-0190,PRV-0011,VEH-0194,GCF-5269,Vehículos,Pérdida Total,2024-09-16,2024-09-16,0,1443,-1078,18411.53,16754.65,0.0,6339.42,Reserva,Quito,El vehículo sufrió daños de consideración al precipitarse en la vía Av. 6 de Diciembre. El informe del perito establece que los costos de reparación superan el valor comercial del vehículo.,Sí,No,0,3,No,23,Verde,Alta frecuencia conductor en vehículo (3 siniestros) | Vehículo con múltiples siniestros,2,0
SIN-0013,POL-0211,ASE-0204,PRV-0017,VEH-0300,TTH-9059,Vehículos,Robo,2024-04-26,2024-04-30,4,-147,512,27379.67,24676.57,0.0,66724.02,Liquidado,Guayaquil,Sustracción del vehículo en el interior de un centro comercial de Av. Narcisa de Jesús. Las cámaras del lugar presentaban fallas técnicas según indicó el personal de seguridad.,Sí,No,1,1,No,47,Amarillo,Demora denuncia robo >48h | Reporte con demora moderada (4 días),2,0
SIN-0014,POL-0255,ASE-0128,PRV-0060,VEH-0183,CBX-7180,Vehículos,Daño Parcial,2023-05-25,2023-05-25,0,419,-54,3974.79,4103.87,4103.87,16909.76,Pago Total,Quito,Impacto posterior en el sector de Av. América durante hora pico. El conductor responsable presentó documentos y se llegó a un acuerdo inicial antes del reporte a la aseguradora.,Sí,No,1,2,No,19,Verde,2 siniestros del mismo vehículo,1,0
SIN-0015,POL-0289,ASE-0087,PRV-0053,,,Salud,Emergencia,2023-01-29,2023-01-30,1,30,527,468.83,414.16,414.16,32101.63,Pago Total,Quito,Colisión frontal en la vía Av. Occidental cuando el vehículo contrario invadió el carril. Se levantó el parte policial correspondiente y se tomaron fotografías del lugar.,Sí,No,0,0,No,16,Verde,Reclamo entre 11-30 días de póliza,1,0
SIN-0016,POL-0126,ASE-0227,PRV-0047,,,Hogar,Daño por Agua,2023-12-11,2023-12-12,1,30,589,3876.32,4193.09,0.0,22144.69,Reserva,Guayaquil,Siniestro ocurrido en la autopista Av. del Bombero. El vehículo derrapó al esquivar un objeto en la vía causando impacto contra el guardarraíl lateral.,Sí,No,1,0,No,26,Verde,Reclamo entre 11-30 días de póliza,1,0
SIN-0017,POL-0239,ASE-0063,PRV-0059,VEH-0380,YVY-7800,Vehículos,Robo,2024-02-10,2024-02-11,1,30,403,15948.91,14741.09,14741.09,22911.31,Pago Total,Cuenca,El vehículo fue robado en horas de la madrugada mientras se encontraba estacionado frente al domicilio del asegurado en Av. de Las Américas. Se realizó la denuncia en la UPC del sector.,Sí,No,1,0,No,26,Verde,Reclamo entre 11-30 días de póliza | Demora denuncia robo 24-48h,2,0
SIN-0018,POL-0299,ASE-0139,PRV-0010,VEH-0325,GWG-9235,Vehículos,Responsabilidad Civil,2025-01-10,2025-01-10,0,134,231,19595.3,20239.89,20239.89,6120.82,Pago Total,Quito,Colisión del asegurado contra un vehículo de servicio público en Av. Shyris. El conductor del bus presentó daños en la parte lateral y varios pasajeros reportaron lesiones leves.,No,Sí,2,2,Sí,85,Rojo,2 siniestros previos del asegurado | 2 siniestros del mismo vehículo | ⚠️ Proveedor en Lista Restrictiva | Documentos incompletos | ⚠️ Documentos inconsistentes detectados,5,1
SIN-0019,POL-0217,ASE-0220,PRV-0033,VEH-0155,HYD-9600,Vehículos,Responsabilidad Civil,2023-06-15,2023-06-16,1,-255,620,14019.77,11836.19,11836.19,27642.94,Pago Total,Quito,Colisión del asegurado contra un vehículo de servicio público en Av. América. El conductor del bus presentó daños en la parte lateral y varios pasajeros reportaron lesiones leves.,No,Sí,3,0,Sí,97,Rojo,Alta frecuencia reclamos asegurado (3 siniestros) | ⚠️ Proveedor en Lista Restrictiva | Documentos incompletos | ⚠️ Documentos inconsistentes detectados,4,1
SIN-0020,POL-0181,ASE-0029,PRV-0007,,,Hogar,Robo Contenido,2023-05-14,2023-05-15,1,211,154,4058.97,4335.46,0.0,16147.81,Liquidado,Manta,"Robo con fuerza en el inmueble asegurado ubicado en Vía Principal, Manta. Los delincuentes ingresaron por la puerta de servicio. Se sustrajeron equipos electrónicos y objetos de valor.",No,No,0,0,No,18,Verde,Documentos incompletos,1,0
SIN-0021,POL-0164,ASE-0079,PRV-0060,VEH-0238,XPW-4331,Vehículos,Daño Parcial,2023-12-08,2023-12-08,0,397,-32,3077.57,3270.67,3270.67,8501.53,Pago Total,Guayaquil,Impacto posterior en el sector de Av. Francisco de Orellana durante hora pico. El conductor responsable presentó documentos y se llegó a un acuerdo inicial antes del reporte a la aseguradora.,Sí,No,2,0,No,71,Amarillo,2 siniestros previos del asegurado,1,0
SIN-0022,POL-0078,ASE-0127,PRV-0017,,,Hogar,Terremoto,2023-10-05,2023-10-10,5,938,-573,23280.16,18951.62,18951.62,49385.46,Pago Total,Loja,Impacto posterior en el sector de Vía Principal durante hora pico. El conductor responsable presentó documentos y se llegó a un acuerdo inicial antes del reporte a la aseguradora.,Sí,No,2,0,No,56,Amarillo,2 siniestros previos del asegurado | Reporte con demora moderada (5 días),2,0
SIN-0023,POL-0166,ASE-0102,PRV-0007,,,Generales,Incendio Comercial,2023-06-07,2023-06-09,2,635,-270,5924.51,5426.03,5426.03,38769.58,Pago Total,Cuenca,El asegurado indica que al intentar ingresar al parqueadero fue golpeado lateralmente por un vehículo que no respetó la preferencia de paso en la intersección de Av. Huayna Cápac.,Sí,No,0,0,No,15,Verde,Ninguna,0,0
SIN-0024,POL-0052,ASE-0003,PRV-0017,VEH-0095,DSA-8682,Vehículos,Robo,2024-08-20,2024-08-23,3,1370,-1005,34998.25,34123.4,0.0,39397.26,Negativa,Quito,Robo del vehículo en el sector comercial de Av. Occidental. El asegurado indica que dejó el auto por aproximadamente 2 horas y al regresar ya no se encontraba. No hay evidencia de forzamiento.,No,Sí,2,0,No,41,Amarillo,Demora denuncia robo >48h | 2 siniestros previos del asegurado | Documentos incompletos | ⚠️ Documentos inconsistentes detectados,4,1
SIN-0025,POL-0192,ASE-0248,PRV-0038,VEH-0036,BJY-1908,Vehículos,Robo,2023-08-11,2023-08-11,0,144,221,13136.93,10781.38,0.0,22307.49,Negativa,Quito,El asegurado reporta que al regresar al parqueadero ubicado en el sector de Av. Naciones Unidas encontró que su vehículo había sido sustraído. No existen testigos ni cámaras de seguridad en el lugar.,Sí,No,1,1,No,0,Verde,Ninguna,0,0
SIN-0026,POL-0264,ASE-0029,PRV-0044,VEH-0388,RRE-5683,Vehículos,Responsabilidad Civil,2024-01-25,2024-01-25,0,1155,-790,11901.31,9543.9,0.0,30218.68,Cierre Sin Consecuencia,Quito,El vehículo asegurado impactó a un peatón en Av. 6 de Diciembre causando lesiones de consideración. Se levantó el parte policial y se trasladó al afectado al centro médico más cercano.,Sí,No,1,1,No,0,Verde,Ninguna,0,0
SIN-0027,POL-0086,ASE-0023,PRV-0054,,,Vida,Invalidez Total,2023-06-03,2023-06-06,3,463,-98,19298.97,15613.97,0.0,20703.28,Negativa,Loja,El vehículo asegurado fue impactado por la parte posterior mientras se encontraba detenido en el semáforo de la Av. Vía Principal. El conductor del vehículo causante se dio a la fuga sin identificarse.,Sí,No,6,4,No,96,Rojo,Alta frecuencia reclamos asegurado (6 siniestros) | Alta frecuencia conductor en vehículo (4 siniestros) | Proveedor con historial de casos observados,3,1
SIN-0028,POL-0283,ASE-0220,PRV-0031,,,Vida,Fallecimiento,2023-08-23,2023-08-25,2,30,627,14714.53,13268.1,6588.95,10026.44,Anticipo,Cuenca,Siniestro ocurrido en la autopista Av. Loja. El vehículo derrapó al esquivar un objeto en la vía causando impacto contra el guardarraíl lateral.,Sí,No,1,0,No,26,Verde,Reclamo entre 11-30 días de póliza,1,0
SIN-0029,POL-0243,ASE-0048,PRV-0030,,,Salud,Atención Médica,2025-02-10,2025-02-12,2,1597,-1232,1641.83,1385.69,0.0,49406.42,Negativa,Guayaquil,Paciente ingresa a consulta por cuadro de insuficiencia cardíaca. Se realiza evaluación completa y se indica tratamiento farmacológico por 15 días con control posterior.,Sí,No,0,0,No,11,Verde,Ninguna,0,0
SIN-0030,POL-0198,ASE-0248,PRV-0003,,,Vida,Invalidez Total,2023-02-24,2023-02-24,0,30,475,47600.59,43509.36,0.0,19089.96,Cierre Sin Consecuencia,Guayaquil,Impacto posterior en el sector de Av. Francisco de Orellana durante hora pico. El conductor responsable presentó documentos y se llegó a un acuerdo inicial antes del reporte a la aseguradora.,Sí,No,0,0,No,17,Verde,Reclamo entre 11-30 días de póliza,1,0
SIN-0031,POL-0032,ASE-0108,PRV-0009,VEH-0009,VHY-7155,Vehículos,Daño Parcial,2024-06-07,2024-06-07,0,534,-169,2045.3,2075.64,2075.64,7116.64,Pago Total,Guayaquil,Siniestro ocurrido en la autopista Av. Francisco de Orellana. El vehículo derrapó al esquivar un objeto en la vía causando impacto contra el guardarraíl lateral.,Sí,No,0,0,No,0,Verde,Ninguna,0,0
SIN-0032,POL-0293,ASE-0058,PRV-0037,VEH-0043,ZDX-0768,Vehículos,Choque,2024-06-24,2024-06-25,1,526,-161,2178.49,2317.34,0.0,27029.2,Negativa,Manta,Siniestro ocurrido en la autopista Av. 24 de Mayo. El vehículo derrapó al esquivar un objeto en la vía causando impacto contra el guardarraíl lateral.,Sí,No,0,0,No,11,Verde,Ninguna,0,0
SIN-0033,POL-0003,ASE-0188,PRV-0041,VEH-0097,CHK-5981,Vehículos,Daño Parcial,2024-03-24,2024-03-27,3,1443,-1078,1158.85,1265.53,0.0,6584.23,Cierre Sin Consecuencia,Riobamba,El asegurado indica que al intentar ingresar al parqueadero fue golpeado lateralmente por un vehículo que no respetó la preferencia de paso en la intersección de Av. 24 de Mayo.,No,No,5,0,No,71,Amarillo,Alta frecuencia reclamos asegurado (5 siniestros) | Documentos incompletos,2,1
SIN-0034,POL-0163,ASE-0147,PRV-0014,,,Vida,Invalidez Parcial,2024-05-02,2024-05-05,3,903,-538,12069.14,10018.8,0.0,42011.72,Cierre Sin Consecuencia,Portoviejo,El vehículo asegurado fue impactado por la parte posterior mientras se encontraba detenido en el semáforo de la Av. Redondel Central. El conductor del vehículo causante se dio a la fuga sin identificarse.,No,No,2,0,No,45,Amarillo,2 siniestros previos del asegurado | Documentos incompletos,2,0
SIN-0035,POL-0264,ASE-0029,PRV-0005,VEH-0262,TFL-7110,Vehículos,Robo,2023-03-31,2023-03-31,0,855,-490,8597.51,8258.01,0.0,30218.68,Reserva,Portoviejo,Sustracción del vehículo en el interior de un centro comercial de Calle Central. Las cámaras del lugar presentaban fallas técnicas según indicó el personal de seguridad.,No,No,0,0,No,5,Verde,Documentos incompletos,1,0
SIN-0036,POL-0069,ASE-0247,PRV-0003,,,Salud,Emergencia,2023-07-14,2023-07-16,2,293,72,767.6,717.37,412.47,27775.78,Anticipo,Guayaquil,El vehículo asegurado fue impactado por la parte posterior mientras se encontraba detenido en el semáforo de la Av. Av. Narcisa de Jesús. El conductor del vehículo causante se dio a la fuga sin identificarse.,Sí,No,3,0,No,71,Amarillo,Alta frecuencia reclamos asegurado (3 siniestros),1,0
SIN-0037,POL-0108,ASE-0085,PRV-0028,,,Salud,Hospitalización,2023-11-14,2023-11-14,0,30,758,1151.47,1118.1,544.69,21061.65,Pago Parcial,Quito,Ingreso hospitalario de emergencia por neumonía bilateral severo. Requirió atención en UCI durante las primeras 48 horas. Posteriormente trasladado a sala general con mejoría progresiva.,Sí,No,0,0,No,14,Verde,Reclamo entre 11-30 días de póliza,1,0
SIN-0038,POL-0260,ASE-0070,PRV-0045,VEH-0120,STX-1534,Vehículos,Daño Parcial,2023-01-16,2023-01-16,0,30,411,1881.84,1778.42,0.0,22064.99,Liquidado,Quito,Siniestro ocurrido en la autopista Av. Eloy Alfaro. El vehículo derrapó al esquivar un objeto en la vía causando impacto contra el guardarraíl lateral.,No,No,0,0,No,28,Verde,Reclamo entre 11-30 días de póliza | Documentos incompletos,2,0
SIN-0039,POL-0249,ASE-0173,PRV-0007,,,Vida,Invalidez Total,2024-11-20,2024-11-20,0,301,64,34917.94,35353.51,35353.51,36425.51,Pago Total,Quito,El vehículo asegurado fue impactado por la parte posterior mientras se encontraba detenido en el semáforo de la Av. Av. Eloy Alfaro. El conductor del vehículo causante se dio a la fuga sin identificarse.,Sí,No,2,0,No,94,Rojo,2 siniestros previos del asegurado | Monto cercano a suma asegurada (>93%),2,1
SIN-0040,POL-0079,ASE-0101,PRV-0038,,,Generales,Daño Equipos,2023-05-11,2023-05-12,1,850,-485,4676.55,4863.13,2471.16,12146.73,Pago Parcial,Guayaquil,El asegurado indica que al intentar ingresar al parqueadero fue golpeado lateralmente por un vehículo que no respetó la preferencia de paso en la intersección de Av. Francisco de Orellana.,Sí,No,1,0,No,14,Verde,Ninguna,0,0
SIN-0041,POL-0113,ASE-0168,PRV-0041,VEH-0122,DGR-6162,Vehículos,Volcadura,2024-07-04,2024-07-05,1,1214,-849,5174.01,5141.42,5141.42,34245.69,Pago Total,Quito,El vehículo perdió el control en la vía Av. Shyris y volcó aparatosamente. No se identificaron otros vehículos involucrados. El accidente ocurrió aproximadamente a las 14:14 según el reporte policial.,Sí,No,1,1,No,26,Verde,Dinámica de accidente sospechosa (Volcadura),1,0
SIN-0042,POL-0197,ASE-0220,PRV-0027,VEH-0181,UJN-2618,Vehículos,Volcadura,2022-10-05,2022-10-06,1,16,-190,7766.75,6747.33,0.0,80568.37,Reserva,Quito,El vehículo perdió el control en la vía Av. Shyris y volcó aparatosamente. No se identificaron otros vehículos involucrados. El accidente ocurrió aproximadamente a las 16:22 según el reporte policial.,Sí,No,0,0,No,71,Amarillo,Reclamo entre 11-30 días de póliza | Proveedor con historial de casos observados | Dinámica de accidente sospechosa (Volcadura),3,0
SIN-0043,POL-0098,ASE-0044,PRV-0026,VEH-0137,KEJ-4505,Vehículos,Responsabilidad Civil,2023-03-08,2023-03-09,1,1024,-659,7089.32,6856.97,6856.97,19102.87,Pago Total,Guayaquil,El vehículo asegurado impactó a un peatón en Blvd. del Malecón causando lesiones de consideración. Se levantó el parte policial y se trasladó al afectado al centro médico más cercano.,Sí,No,0,0,No,26,Verde,Ninguna,0,0
SIN-0044,POL-0068,ASE-0038,PRV-0054,,,Hogar,Robo Contenido,2025-01-25,2025-01-27,2,1758,-1393,1781.53,1772.68,753.21,14033.65,Pago Parcial,Ambato,Sustracción de bienes del interior del inmueble en Av. Cevallos. El asegurado reporta ausencia de 12 días del domicilio. Se presentó la denuncia en la Fiscalía del sector.,Sí,No,0,0,Sí,10,Verde,⚠️ Proveedor en Lista Restrictiva,1,0
SIN-0045,POL-0134,ASE-0225,PRV-0053,,,Salud,Hospitalización,2025-03-01,2025-03-04,3,62,303,4024.04,4351.15,4351.15,6014.48,Pago Total,Quito,Ingreso hospitalario de emergencia por hipertensión severa severo. Requirió atención en UCI durante las primeras 48 horas. Posteriormente trasladado a sala general con mejoría progresiva.,No,No,1,0,No,56,Amarillo,Documentos incompletos,1,0
SIN-0046,POL-0174,ASE-0247,PRV-0010,,,Vehículos,Robo,2023-10-29,2023-11-01,3,3,564,9613.55,10147.1,10147.1,41146.68,Pago Total,Cuenca,El vehículo fue robado en horas de la madrugada mientras se encontraba estacionado frente al domicilio del asegurado en Av. de Las Américas. Se realizó la denuncia en la UPC del sector.,No,No,4,0,Sí,83,Rojo,Reclamo primeros 10 días de póliza | Demora denuncia robo >48h | Alta frecuencia reclamos asegurado (4 siniestros) | ⚠️ Proveedor en Lista Restrictiva | Documentos incompletos,5,1
SIN-0047,POL-0270,ASE-0019,PRV-0055,,,Hogar,Daño por Agua,2025-02-10,2025-02-11,1,246,119,2540.08,2696.25,0.0,27417.2,Negativa,Quito,Impacto posterior en el sector de Calle Colón durante hora pico. El conductor responsable presentó documentos y se llegó a un acuerdo inicial antes del reporte a la aseguradora.,Sí,No,0,0,No,13,Verde,Ninguna,0,0
SIN-0048,POL-0073,ASE-0069,PRV-0008,,,Vehículos,Volcadura,2024-03-01,2024-03-15,14,99,266,4888.16,5341.7,5341.7,22005.45,Pago Total,Ambato,El vehículo perdió el control en la vía Av. Los Shyris y volcó aparatosamente. No se identificaron otros vehículos involucrados. El accidente ocurrió aproximadamente a las 06:43 según el reporte policial.,No,No,1,2,No,89,Rojo,2 siniestros del mismo vehículo | Documentos incompletos | Dinámica de accidente sospechosa (Volcadura) | Reporte tardío (14 días),4,1
SIN-0049,POL-0221,ASE-0214,PRV-0041,VEH-0265,EXA-9332,Vehículos,Daño Parcial,2024-08-12,2024-08-15,3,384,-19,2448.72,2274.63,1124.06,41194.94,Pago Parcial,Ambato,El vehículo asegurado fue impactado por la parte posterior mientras se encontraba detenido en el semáforo de la Av. Av. 12 de Noviembre. El conductor del vehículo causante se dio a la fuga sin identificarse.,No,No,1,1,No,71,Amarillo,Documentos incompletos,1,0
SIN-0050,POL-0131,ASE-0223,PRV-0033,VEH-0190,UXM-9831,Vehículos,Choque,2023-11-19,2023-11-21,2,1003,-638,41763.35,38705.28,0.0,42555.44,Reserva,Guayaquil,El vehículo asegurado fue impactado por la parte posterior mientras se encontraba detenido en el semáforo de la Av. Av. Juan Tanca Marengo. El conductor del vehículo causante se dio a la fuga sin identificarse.,Sí,No,3,3,No,87,Rojo,Alta frecuencia reclamos asegurado (3 siniestros) | Alta frecuencia conductor en vehículo (3 siniestros) | Vehículo con múltiples siniestros | Proveedor con historial de casos observados | Monto cercano a suma asegurada (>93%),5,1
SIN-0051,POL-0009,ASE-0177,PRV-0054,VEH-0287,PYJ-4613,Vehículos,Volcadura,2023-05-05,2023-05-05,0,684,-319,3177.4,3049.64,0.0,38117.22,Negativa,Cuenca,Volcadura del vehículo asegurado en la curva de Calle Gran Colombia. El conductor señala que existía exceso de velocidad combinado con lluvia intensa en ese momento. No hay cámaras en el sector.,No,Sí,2,0,Sí,92,Rojo,2 siniestros previos del asegurado | ⚠️ Proveedor en Lista Restrictiva | Documentos incompletos | Dinámica de accidente sospechosa (Volcadura) | ⚠️ Documentos inconsistentes detectados,5,1
SIN-0052,POL-0089,ASE-0203,PRV-0039,VEH-0176,RBB-1002,Vehículos,Volcadura,2024-04-19,2024-05-08,19,458,-93,26200.87,21177.81,15154.56,26948.2,Pago Parcial,Cuenca,Volcadura del vehículo asegurado en la curva de Av. de Las Américas. El conductor señala que existía exceso de velocidad combinado con lluvia intensa en ese momento. No hay cámaras en el sector.,No,No,2,3,No,87,Rojo,2 siniestros previos del asegurado | Alta frecuencia conductor en vehículo (3 siniestros) | Vehículo con múltiples siniestros | Documentos incompletos | Dinámica de accidente sospechosa (Volcadura) | Reporte tardío (19 días) | Monto cercano a suma asegurada (>93%),7,1
SIN-0053,POL-0080,ASE-0150,PRV-0002,VEH-0080,RNG-1011,Vehículos,Pérdida Total,2024-04-05,2024-04-07,2,1431,-1066,30216.62,27322.44,0.0,30109.45,Reserva,Cuenca,El vehículo sufrió daños de consideración al precipitarse en la vía Av. Loja. El informe del perito establece que los costos de reparación superan el valor comercial del vehículo.,Sí,No,3,1,No,56,Amarillo,Demora denuncia robo 24-48h | Alta frecuencia reclamos asegurado (3 siniestros),2,0
SIN-0054,POL-0104,ASE-0012,PRV-0010,,,Vida,Fallecimiento,2024-01-05,2024-01-06,1,14,585,21993.82,20510.11,10115.4,6258.6,Pago Parcial,Manta,Impacto posterior en el sector de Vía Principal durante hora pico. El conductor responsable presentó documentos y se llegó a un acuerdo inicial antes del reporte a la aseguradora.,Sí,No,2,0,Sí,49,Amarillo,Reclamo entre 11-30 días de póliza | 2 siniestros previos del asegurado | ⚠️ Proveedor en Lista Restrictiva,3,0
SIN-0055,POL-0025,ASE-0160,PRV-0039,VEH-0041,YZD-2373,Vehículos,Pérdida Total,2025-01-16,2025-01-18,2,218,147,23854.95,22677.61,0.0,23023.76,Reserva,Ambato,El vehículo sufrió daños de consideración al precipitarse en la vía Av. 12 de Noviembre. El informe del perito establece que los costos de reparación superan el valor comercial del vehículo.,Sí,No,0,0,No,18,Verde,Demora denuncia robo 24-48h,1,0
SIN-0056,POL-0191,ASE-0217,PRV-0010,,,Vehículos,Robo,2021-02-11,2021-02-18,7,8,-1038,9190.56,7937.46,7937.46,9796.6,Pago Total,Ibarra,Sustracción del vehículo en el interior de un centro comercial de Calle Central. Las cámaras del lugar presentaban fallas técnicas según indicó el personal de seguridad.,No,No,4,0,Sí,87,Rojo,Reclamo primeros 10 días de póliza | Demora denuncia robo >48h | Alta frecuencia reclamos asegurado (4 siniestros) | ⚠️ Proveedor en Lista Restrictiva | Documentos incompletos | Reporte con demora moderada (7 días) | Monto cercano a suma asegurada (>93%),7,1
SIN-0057,POL-0039,ASE-0013,PRV-0002,,,Vida,Invalidez Total,2022-04-02,2022-04-04,2,17,-549,33355.27,31019.65,0.0,42409.55,Liquidado,Quito,El vehículo asegurado fue impactado por la parte posterior mientras se encontraba detenido en el semáforo de la Av. Av. República. El conductor del vehículo causante se dio a la fuga sin identificarse.,Sí,No,5,0,No,41,Amarillo,Reclamo entre 11-30 días de póliza | Alta frecuencia reclamos asegurado (5 siniestros),2,0
